date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:56	27552/27552	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:55%20GMT	https://preclinic.dreamguystech.com/template/index.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/index.html	(from )
12:18:57	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2006:48:57%20GMT	https://preclinic.dreamguystech.com/robots.txt		(from )
12:18:58	5430/5430	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221536-5a7943e8d4f80%22	https://preclinic.dreamguystech.com/template/assets/img/favicon.ico	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/assets/img/favicon.ico	(from https://preclinic.dreamguystech.com/template/index.html)
12:18:59	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-5a7943e504680-gzip%22	https://preclinic.dreamguystech.com/template/assets/css/bootstrap.min.css	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/assets/css/bootstrap.min.css	(from https://preclinic.dreamguystech.com/template/index.html)
12:18:59	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5a7943e504680-gzip%22	https://preclinic.dreamguystech.com/template/assets/css/font-awesome.min.css	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/assets/css/font-awesome.min.css	(from https://preclinic.dreamguystech.com/template/index.html)
12:18:59	69683/69683	---MCZ	200	added ('OK')	text/css	etag:W/%221522f-5a7943e504680-gzip%22	https://preclinic.dreamguystech.com/template/assets/css/style.css	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/assets/css/style.css	(from https://preclinic.dreamguystech.com/template/index.html)
12:18:59	9632/9632	---M--	200	added ('OK')	image/png	etag:%2225a0-5a7943e7e0d40%22	https://preclinic.dreamguystech.com/template/assets/img/logo.png	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/assets/img/logo.png	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:00	20046/20046	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:27:00%20GMT	https://preclinic.dreamguystech.com/template/activities.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/activities.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:00	1112/1112	---M--	200	added ('OK')	image/jpeg	etag:%22458-5a7943e6ecb00%22	https://preclinic.dreamguystech.com/template/assets/img/user.jpg	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/assets/img/user.jpg	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:01	20662/20662	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/profile.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/profile.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:01	22198/22198	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:57%20GMT	https://preclinic.dreamguystech.com/template/edit-profile.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/edit-profile.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:02	14496/14496	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/settings.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/settings.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:02	1747/1747	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/login.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/login.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:02	28446/28446	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:58%20GMT	https://preclinic.dreamguystech.com/template/doctors.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/doctors.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:03	30358/30358	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/patients.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/patients.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:03	19779/19779	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:59%20GMT	https://preclinic.dreamguystech.com/template/appointments.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/appointments.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:03	18798/18798	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/schedule.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/schedule.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:04	21473/21473	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:58%20GMT	https://preclinic.dreamguystech.com/template/departments.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/departments.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:04	23749/23749	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:56%20GMT	https://preclinic.dreamguystech.com/template/employees.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/employees.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:04	25578/25578	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/leaves.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/leaves.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:04	20232/20232	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:55%20GMT	https://preclinic.dreamguystech.com/template/holidays.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/holidays.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:05	34346/34346	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:59%20GMT	https://preclinic.dreamguystech.com/template/attendance.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/attendance.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:05	21821/21821	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/invoices.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/invoices.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:05	17707/17707	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/payments.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/payments.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:06	22709/22709	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:56%20GMT	https://preclinic.dreamguystech.com/template/expenses.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/expenses.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:06	19410/19410	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/taxes.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/taxes.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:06	19059/19059	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/provident-fund.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/provident-fund.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:07	21127/21127	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/salary.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/salary.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:07	19310/19310	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/salary-view.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/salary-view.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:07	32650/32650	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:58%20GMT	https://preclinic.dreamguystech.com/template/chat.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/chat.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:07	30120/30120	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:52%20GMT	https://preclinic.dreamguystech.com/template/voice-call.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/voice-call.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:08	24557/24557	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:52%20GMT	https://preclinic.dreamguystech.com/template/video-call.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/video-call.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:08	25546/25546	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:55%20GMT	https://preclinic.dreamguystech.com/template/incoming-call.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/incoming-call.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:08	12719/12719	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:58%20GMT	https://preclinic.dreamguystech.com/template/compose.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/compose.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:09	18238/18238	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:55%20GMT	https://preclinic.dreamguystech.com/template/inbox.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/inbox.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:09	15954/15954	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:54%20GMT	https://preclinic.dreamguystech.com/template/mail-view.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/mail-view.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:09	20881/20881	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:59%20GMT	https://preclinic.dreamguystech.com/template/blog.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/blog.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:10	27712/27712	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:59%20GMT	https://preclinic.dreamguystech.com/template/blog-details.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/blog-details.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:10	20489/20489	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:27:00%20GMT	https://preclinic.dreamguystech.com/template/add-blog.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/add-blog.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:10	20534/20534	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:57%20GMT	https://preclinic.dreamguystech.com/template/edit-blog.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/edit-blog.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:10	20103/20103	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:59%20GMT	https://preclinic.dreamguystech.com/template/assets.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/assets.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:11	20466/20466	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:56%20GMT	https://preclinic.dreamguystech.com/template/expense-reports.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/expense-reports.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:11	19280/19280	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:55%20GMT	https://preclinic.dreamguystech.com/template/invoice-reports.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/invoice-reports.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:11	39930/39930	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:52%20GMT	https://preclinic.dreamguystech.com/template/uikit.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/uikit.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:12	19825/19825	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:52%20GMT	https://preclinic.dreamguystech.com/template/typography.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/typography.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:12	24242/24242	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/tabs.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/tabs.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:12	20382/20382	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:56%20GMT	https://preclinic.dreamguystech.com/template/form-basic-inputs.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/form-basic-inputs.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:13	22927/22927	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:55%20GMT	https://preclinic.dreamguystech.com/template/form-input-groups.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/form-input-groups.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:13	25173/25173	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:56%20GMT	https://preclinic.dreamguystech.com/template/form-horizontal.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/form-horizontal.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:13	23471/23471	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:55%20GMT	https://preclinic.dreamguystech.com/template/form-vertical.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/form-vertical.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:14	23722/23722	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/tables-basic.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/tables-basic.html	(from https://preclinic.dreamguystech.com/template/index.html)
12:19:14	24882/24882	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2015:26:53%20GMT	https://preclinic.dreamguystech.com/template/tables-datatables.html	C:/Users/LENOVO/OneDrive/Desktop/etuy/preclinic.dreamguystech.com/template/tables-datatables.html	(from https://preclinic.dreamguystech.com/template/index.html)
